duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,db_amps,station_code,network_code,quality
1.16,1332238073.36,2012-03-20T10:07:53.360000Z,1356.7731633469,2713.5463266938,1332238072.8,2012-03-20T10:07:52.800000Z,1332238072.2,2012-03-20T10:07:52.200000Z,14.8764364668877,1.00884289171304,2.74257967653789,,,,,,1500.0,-142.421728996745,B12,XF,1.0
1.16,1332237707.28,2012-03-20T10:01:47.280000Z,1654.91418692459,3309.82837384919,1332237706.72,2012-03-20T10:01:46.720000Z,1332237706.12,2012-03-20T10:01:46.120000Z,15.2525463898528,0.915342628227024,4.06663093879411,,,,,,1500.0,-141.669509150814,B12,XF,1.0
1.16,1332238772.76,2012-03-20T10:19:32.760000Z,1918.23135139545,3836.46270279089,1332238772.2,2012-03-20T10:19:32.200000Z,1332238771.6,2012-03-20T10:19:31.600000Z,15.5242887417122,1.52418766859105,18.3174057137647,,,,,,1500.0,-141.126024447096,B12,XF,1.0
1.16,1332238376.64,2012-03-20T10:12:56.640000Z,1753.18934995899,3506.37869991797,1332238376.08,2012-03-20T10:12:56.080000Z,1332238375.48,2012-03-20T10:12:55.480000Z,15.5424879492122,1.53064684796722,4.4903002819074,,,,,,1500.0,-141.089626032096,B12,XF,1.0
1.16,1332238376.64,2012-03-20T10:12:56.640000Z,1753.18934995899,3506.37869991797,1332238376.08,2012-03-20T10:12:56.080000Z,1332238375.48,2012-03-20T10:12:55.480000Z,15.5424879492122,1.53064684796722,4.4903002819074,,,,,,1500.0,-141.089626032096,B12,XF,1.0
1.12,1332239191.12,2012-03-20T10:26:31.120000Z,1967.3168791548,3934.6337583095906,1332239190.6,2012-03-20T10:26:30.600000Z,1332239190.0,2012-03-20T10:26:30.000000Z,15.785999417692,1.03329291065407,4.96731970307525,,,,,,1500.0,-140.602603095136,B12,XF,1.0
1.16,1332239640.36,2012-03-20T10:34:00.360000Z,2486.13512504125,4972.2702500825,1332239639.8,2012-03-20T10:33:59.800000Z,1332239639.2,2012-03-20T10:33:59.200000Z,16.1978521373328,2.51185135928746,4.12103175186889,,,,,,1500.0,-139.778897655854,B12,XF,1.0
1.12,1332240426.12,2012-03-20T10:47:06.120000Z,1758.22345235354,3516.44690470708,1332240425.6,2012-03-20T10:47:05.600000Z,1332240425.0,2012-03-20T10:47:05.000000Z,15.6274640964868,1.04216541900087,3.20852429951028,,,,,,1500.0,-140.919673737546,B12,XF,1.0
1.16,1332240145.12,2012-03-20T10:42:25.120000Z,1868.3319820761,3736.6639641522,1332240144.56,2012-03-20T10:42:24.560000Z,1332240143.96,2012-03-20T10:42:23.960000Z,15.7885646641971,0.876930604715833,5.54399555684244,,,,,,1500.0,-140.597472602126,B12,XF,1.0
1.12,1332240849.0,2012-03-20T10:54:09.000000Z,1289.06702936192,2578.13405872385,1332240848.48,2012-03-20T10:54:08.480000Z,1332240847.88,2012-03-20T10:54:07.880000Z,14.7513520435665,0.963050740808632,3.07868793664887,,,,,,1500.0,-142.671897843387,B12,XF,1.0
1.16,1332241287.52,2012-03-20T11:01:27.520000Z,1064.44840217024,2128.89680434048,1332241286.96,2012-03-20T11:01:26.960000Z,1332241286.36,2012-03-20T11:01:26.360000Z,14.6215951447017,0.855569905511765,4.75483358128373,,,,,,1500.0,-142.931411641116,B12,XF,1.0
1.12,1332242385.76,2012-03-20T11:19:45.760000Z,808.35418931773,1616.70837863546,1332242385.24,2012-03-20T11:19:45.240000Z,1332242384.64,2012-03-20T11:19:44.640000Z,14.1999880307259,3.6411398086732,10.8391212613733,,,,,,1500.0,-143.774625869068,B12,XF,1.0
1.16,1332242042.28,2012-03-20T11:14:02.280000Z,854.137706420391,1708.27541284078,1332242041.72,2012-03-20T11:14:01.720000Z,1332242041.12,2012-03-20T11:14:01.120000Z,14.6902897737806,0.980500288875911,3.81615967346191,,,,,,1500.0,-142.794022382959,B12,XF,1.0
1.12,1332242946.24,2012-03-20T11:29:06.240000Z,2689.69849123732,5379.39698247463,1332242945.72,2012-03-20T11:29:05.720000Z,1332242945.12,2012-03-20T11:29:05.120000Z,16.4006512348358,1.35910506594932,3.31065283794151,,,,,,1500.0,-139.373299460848,B12,XF,1.0
1.16,1332243573.76,2012-03-20T11:39:33.760000Z,1784.77045682521,3569.54091365042,1332243573.2,2012-03-20T11:39:33.200000Z,1332243572.6,2012-03-20T11:39:32.600000Z,15.3996194008865,1.12986557178305,13.6789125031911,,,,,,1500.0,-141.375363128747,B12,XF,1.0
1.16,1332243261.8,2012-03-20T11:34:21.800000Z,1914.07990552578,3828.15981105156,1332243261.24,2012-03-20T11:34:21.240000Z,1332243260.64,2012-03-20T11:34:20.640000Z,15.6938738739577,0.444619229826748,14.0114538740253,,,,,,1500.0,-140.786854182605,B12,XF,1.0
1.16,1332243261.8,2012-03-20T11:34:21.800000Z,1914.07990552578,3828.15981105156,1332243261.24,2012-03-20T11:34:21.240000Z,1332243260.64,2012-03-20T11:34:20.640000Z,15.6938738739577,0.444619229826748,14.0114538740253,,,,,,1500.0,-140.786854182605,B12,XF,1.0
1.16,1332244051.8,2012-03-20T11:47:31.800000Z,2501.73181238168,5003.46362476337,1332244051.24,2012-03-20T11:47:31.240000Z,1332244050.64,2012-03-20T11:47:30.640000Z,16.47216711371,0.732083455822291,13.5425332607036,,,,,,1500.0,-139.2302677031,B12,XF,1.0
1.16,1332244640.28,2012-03-20T11:57:20.280000Z,2743.07541098969,5486.15082197937,1332244639.72,2012-03-20T11:57:19.720000Z,1332244639.12,2012-03-20T11:57:19.120000Z,16.5688836331493,0.378605964182269,2.98677162225252,,,,,,1500.0,-139.036834664221,B12,XF,1.0
1.2,1332244331.76,2012-03-20T11:52:11.760000Z,3694.36000226126,7388.72000452251,1332244331.2,2012-03-20T11:52:11.200000Z,1332244330.56,2012-03-20T11:52:10.560000Z,17.3210242577965,1.06532548835259,14.0591442447607,,,,,,1500.0,-137.532553414927,B12,XF,1.0
1.16,1332244640.28,2012-03-20T11:57:20.280000Z,1148.49659684781,2296.99319369562,1332244639.72,2012-03-20T11:57:19.720000Z,1332244639.12,2012-03-20T11:57:19.120000Z,14.5117271479489,-1.66258340828865,0.600452428048132,,,,,,1500.0,-142.627542985606,B12,XF,0.0
1.16,1332245063.84,2012-03-20T12:04:23.840000Z,893.368392462204,1786.73678492441,1332245063.28,2012-03-20T12:04:23.280000Z,1332245062.68,2012-03-20T12:04:22.680000Z,14.1473611033771,1.37237876289435,-0.308881535103678,,,,,,1500.0,-143.879879723766,B12,XF,1.0
1.16,1332245063.84,2012-03-20T12:04:23.840000Z,3577.07948542095,7154.15897084191,1332245063.28,2012-03-20T12:04:23.280000Z,1332245062.68,2012-03-20T12:04:22.680000Z,16.9878665083687,4.21786390332077,2.18740099782726,,,,,,1500.0,-137.675264264766,B12,XF,0.0
1.12,1332246581.2,2012-03-20T12:29:41.200000Z,1245.28928694398,2490.57857388796,1332246580.68,2012-03-20T12:29:40.680000Z,1332246580.08,2012-03-20T12:29:40.080000Z,15.0304530639767,0.532654699971795,12.5759470420884,,,,,,1500.0,-141.59009115355,B12,XF,1.0
1.12,1332246178.36,2012-03-20T12:22:58.360000Z,1260.11259658472,2520.22519316943,1332246177.84,2012-03-20T12:22:57.840000Z,1332246177.24,2012-03-20T12:22:57.240000Z,14.386512431939,1.07044312144184,12.9421067184128,,,,,,1500.0,-142.877972417625,B12,XF,1.0
1.12,1332247660.76,2012-03-20T12:47:40.760000Z,1585.22236096194,3170.44472192388,1332247660.24,2012-03-20T12:47:40.240000Z,1332247659.64,2012-03-20T12:47:39.640000Z,15.232734920471,0.905576878848186,15.441045927331,,,,,,1500.0,-141.185527440561,B12,XF,1.0
1.16,1332247308.76,2012-03-20T12:41:48.760000Z,1024.70432540024,2049.40865080049,1332247308.2,2012-03-20T12:41:48.200000Z,1332247307.6,2012-03-20T12:41:47.600000Z,15.1359882407022,0.225154716702306,12.849282818626,,,,,,1500.0,-141.379020800099,B12,XF,1.0
1.12,1332248363.84,2012-03-20T12:59:23.840000Z,1781.43104881936,3562.86209763872,1332248363.32,2012-03-20T12:59:23.320000Z,1332248362.72,2012-03-20T12:59:22.720000Z,15.5875356714605,0.57294484949647,13.6943715568139,,,,,,1500.0,-140.475925938582,B12,XF,1.0
1.12,1332248063.76,2012-03-20T12:54:23.760000Z,1591.42047033819,3182.84094067639,1332248063.2,2012-03-20T12:54:23.200000Z,1332248062.64,2012-03-20T12:54:22.640000Z,15.3584508191089,-0.205101960538423,13.072686611636,,,,,,1500.0,-140.934095643285,B12,XF,1.0
1.16,1332248960.6,2012-03-20T13:09:20.600000Z,2477.94420311121,4955.88840622242,1332248960.04,2012-03-20T13:09:20.040000Z,1332248959.44,2012-03-20T13:09:19.440000Z,16.1594898071506,0.141895841055372,13.4837884330236,,,,,,1500.0,-139.332017667202,B12,XF,1.0
1.16,1332248655.36,2012-03-20T13:04:15.360000Z,1981.56753914699,3963.13507829398,1332248654.8,2012-03-20T13:04:14.800000Z,1332248654.2,2012-03-20T13:04:14.200000Z,15.6545768789999,2.90261164745973,14.6801394892603,,,,,,1500.0,-140.341843523504,B12,XF,1.0
1.16,1332249362.56,2012-03-20T13:16:02.560000Z,2621.91905909338,5243.83811818676,1332249362.04,2012-03-20T13:16:02.040000Z,1332249361.4,2012-03-20T13:16:01.400000Z,16.2182195058409,0.756003056130696,2.55729177927882,,,,,,1500.0,-139.214558269821,B12,XF,1.0
1.16,1332250022.96,2012-03-20T13:27:02.960000Z,1992.74877627982,3985.49755255964,1332250022.4,2012-03-20T13:27:02.400000Z,1332250021.8,2012-03-20T13:27:01.800000Z,15.456308826242,2.63104925201776,2.82541537896666,,,,,,1500.0,-140.738379629019,B12,XF,1.0
1.12,1332249714.88,2012-03-20T13:21:54.880000Z,2669.91527566418,5339.83055132836,1332249714.36,2012-03-20T13:21:54.360000Z,1332249713.76,2012-03-20T13:21:53.760000Z,16.1820480810716,2.68788858093516,7.55759691831639,,,,,,1500.0,-139.28690111936,B12,XF,1.0
1.16,1332250342.88,2012-03-20T13:32:22.880000Z,2066.27052381526,4132.54104763052,1332250342.32,2012-03-20T13:32:22.320000Z,1332250341.72,2012-03-20T13:32:21.720000Z,15.8209511703543,1.17111606961216,13.5344458085627,,,,,,1500.0,-140.009094940795,B12,XF,1.0
1.16,1332251151.96,2012-03-20T13:45:51.960000Z,1440.46675560698,2880.93351121397,1332251151.4,2012-03-20T13:45:51.400000Z,1332251150.8,2012-03-20T13:45:50.800000Z,14.9639371883149,0.234366992683651,9.52928536511835,,,,,,1500.0,-141.723122904874,B12,XF,1.0
1.16,1332251515.88,2012-03-20T13:51:55.880000Z,1220.11624899499,2440.23249798998,1332251515.32,2012-03-20T13:51:55.320000Z,1332251514.72,2012-03-20T13:51:54.720000Z,14.5806976071824,0.235847613623026,4.89006886579493,,,,,,1500.0,-142.489602067138,B12,XF,1.0
1.16,1332251999.96,2012-03-20T13:59:59.960000Z,1032.77203776337,2065.54407552673,1332251999.44,2012-03-20T13:59:59.440000Z,1332251998.8,2012-03-20T13:59:58.800000Z,14.234675731297,0.298684923867755,6.96215694153914,,,,,,1500.0,-143.181645818909,B12,XF,1.0
1.16,1332251999.96,2012-03-20T13:59:59.960000Z,1032.77203776337,2065.54407552673,1332251999.44,2012-03-20T13:59:59.440000Z,1332251998.8,2012-03-20T13:59:58.800000Z,14.234675731297,0.298684923867755,6.96215694153914,,,,,,1500.0,-143.181645818909,B12,XF,1.0
1.12,1332849898.04,2012-03-27T12:04:58.040000Z,1493.77772320922,2987.55544641843,1332849897.52,2012-03-27T12:04:57.520000Z,1332849896.92,2012-03-27T12:04:56.920000Z,15.1034797483923,1.42839543066508,10.8555425140097,,,,,,1500.0,-141.32540278563,B12,XF,1.0
1.12,1332850505.96,2012-03-27T12:15:05.960000Z,2008.25687344006,4016.51374688012,1332850505.4,2012-03-27T12:15:05.400000Z,1332850504.84,2012-03-27T12:15:04.840000Z,15.7801166303378,1.64617159339654,3.75803510005072,,,,,,1500.0,-139.972129021739,B12,XF,1.0
1.12,1332850225.32,2012-03-27T12:10:25.320000Z,1482.33210724182,2964.66421448365,1332850224.8,2012-03-27T12:10:24.800000Z,1332850224.2,2012-03-27T12:10:24.200000Z,15.1366886040076,1.93026267962923,2.65792208493468,,,,,,1500.0,-141.258985074399,B12,XF,1.0
1.16,1332851391.92,2012-03-27T12:29:51.920000Z,2633.74004398132,5267.48008796264,1332851391.36,2012-03-27T12:29:51.360000Z,1332851390.76,2012-03-27T12:29:50.760000Z,16.3345507500825,2.62097037746861,3.73402196865628,,,,,,1500.0,-138.86326078225,B12,XF,1.0
1.12,1332850817.28,2012-03-27T12:20:17.280000Z,1654.75462485194,3309.50924970388,1332850816.76,2012-03-27T12:20:16.760000Z,1332850816.16,2012-03-27T12:20:16.160000Z,15.2952277539779,1.48667247697187,7.31061669242599,,,,,,1500.0,-140.941906774459,B12,XF,1.0
1.08,1332851048.28,2012-03-27T12:24:08.280000Z,1777.6048117583,3555.2096235166,1332851047.76,2012-03-27T12:24:07.760000Z,1332851047.2,2012-03-27T12:24:07.200000Z,15.4117848584595,2.00278126452232,6.23970336713019,,,,,,1500.0,-140.708792565496,B12,XF,1.0
1.12,1332851906.84,2012-03-27T12:38:26.840000Z,1793.62211982247,3587.24423964494,1332851906.32,2012-03-27T12:38:26.320000Z,1332851905.72,2012-03-27T12:38:25.720000Z,15.4242784701144,2.56089980191426,4.01011971060485,,,,,,1500.0,-140.683805342186,B12,XF,1.0
1.12,1332851660.64,2012-03-27T12:34:20.640000Z,2142.53938508906,4285.078770178129,1332851660.12,2012-03-27T12:34:20.120000Z,1332851659.52,2012-03-27T12:34:19.520000Z,15.8435385507478,2.19513026137618,3.00862050593902,,,,,,1500.0,-139.845285180919,B12,XF,1.0
1.16,1332852465.68,2012-03-27T12:47:45.680000Z,1713.78322082776,3427.56644165552,1332852465.12,2012-03-27T12:47:45.120000Z,1332852464.52,2012-03-27T12:47:44.520000Z,15.6763360831648,1.48196394619826,4.59246986371985,,,,,,1500.0,-140.179690116085,B12,XF,1.0
1.12,1332852191.4,2012-03-27T12:43:11.400000Z,2401.20641553271,4802.41283106542,1332852190.88,2012-03-27T12:43:10.880000Z,1332852190.28,2012-03-27T12:43:10.280000Z,16.0665607933083,2.43282615571364,3.08729779046573,,,,,,1500.0,-139.399240695798,B12,XF,1.0
1.12,1332854990.96,2012-03-27T13:29:50.960000Z,2803.60420749675,5607.20841499351,1332854990.4,2012-03-27T13:29:50.400000Z,1332854989.84,2012-03-27T13:29:49.840000Z,16.3736906328945,1.27506200046742,3.08885649006168,,,,,,1500.0,-138.784981016625,B12,XF,1.0
1.16,1332854629.64,2012-03-27T13:23:49.640000Z,3776.87389721336,7553.74779442673,1332854629.08,2012-03-27T13:23:49.080000Z,1332854628.48,2012-03-27T13:23:48.480000Z,17.0550001554994,1.41950947177646,3.79268411123276,,,,,,1500.0,-137.422361971416,B12,XF,1.0
1.16,1332856154.24,2012-03-27T13:49:14.240000Z,2550.86242171604,5101.72484343208,1332856153.68,2012-03-27T13:49:13.680000Z,1332856153.08,2012-03-27T13:49:13.080000Z,16.1385949962213,2.11766011555856,3.40396192804045,,,,,,1500.0,-139.255172289972,B12,XF,1.0
1.08,1332855651.2,2012-03-27T13:40:51.200000Z,872.32571888867,1744.65143777734,1332855650.68,2012-03-27T13:40:50.680000Z,1332855650.12,2012-03-27T13:40:50.120000Z,13.8245756336266,0.879958950748689,2.94613587823421,,,,,,1500.0,-143.883211015161,B12,XF,1.0
1.12,1332855865.52,2012-03-27T13:44:25.520000Z,2006.15297675031,4012.30595350063,1332855864.96,2012-03-27T13:44:24.960000Z,1332855864.4,2012-03-27T13:44:24.400000Z,15.8177106269321,2.80295654752702,2.71861945610467,,,,,,1500.0,-139.89694102855,B12,XF,1.0
1.16,1332855977.84,2012-03-27T13:46:17.840000Z,775.98723046057,1551.97446092114,1332855977.28,2012-03-27T13:46:17.280000Z,1332855976.68,2012-03-27T13:46:16.680000Z,13.2467093287564,1.7841522412005,2.86392673764368,,,,,,1500.0,-145.038943624902,B12,XF,1.0
1.12,1332856699.72,2012-03-27T13:58:19.720000Z,2653.13770422707,5306.27540845415,1332856699.16,2012-03-27T13:58:19.160000Z,1332856698.6,2012-03-27T13:58:18.600000Z,16.153707553905,2.32668840456177,3.65307462713686,,,,,,1500.0,-139.224947174605,B12,XF,1.0
1.08,1332856271.48,2012-03-27T13:51:11.480000Z,1050.13234469977,2100.26468939955,1332856271.0,2012-03-27T13:51:11.000000Z,1332856270.4,2012-03-27T13:51:10.400000Z,13.9758130231558,1.98928709380757,3.48200916649608,,,,,,1500.0,-143.580736236103,B12,XF,1.0
1.12,1332856407.68,2012-03-27T13:53:27.680000Z,1971.76397158288,3943.5279431657696,1332856407.16,2012-03-27T13:53:27.160000Z,1332856406.56,2012-03-27T13:53:26.560000Z,15.7915479754279,1.58266047031577,9.32065482601711,,,,,,1500.0,-139.949266331559,B12,XF,1.0
1.12,1332856594.08,2012-03-27T13:56:34.080000Z,984.550234447882,1969.10046889576,1332856593.56,2012-03-27T13:56:33.560000Z,1332856592.96,2012-03-27T13:56:32.960000Z,13.8983199309306,1.51473120224151,2.46241190839338,,,,,,1500.0,-143.735722420553,B12,XF,1.0
1.12,1332856699.72,2012-03-27T13:58:19.720000Z,2653.13770422707,5306.27540845415,1332856699.16,2012-03-27T13:58:19.160000Z,1332856698.6,2012-03-27T13:58:18.600000Z,16.153707553905,2.32668840456177,3.65307462713686,,,,,,1500.0,-139.224947174605,B12,XF,1.0
1.12,1332857323.8,2012-03-27T14:08:43.800000Z,2882.72931566024,5765.45863132048,1332857323.28,2012-03-27T14:08:43.280000Z,1332857322.68,2012-03-27T14:08:42.680000Z,17.041887095971,2.18433269990558,3.47352246789984,,,,,,1500.0,-137.448588090473,B12,XF,1.0
1.12,1332856861.76,2012-03-27T14:01:01.760000Z,1198.99133672266,2397.98267344533,1332856861.24,2012-03-27T14:01:01.240000Z,1332856860.64,2012-03-27T14:01:00.640000Z,14.4975852800989,1.71943017156463,3.65054887534951,,,,,,1500.0,-142.537191722217,B12,XF,1.0
1.12,1332856989.2,2012-03-27T14:03:09.200000Z,2903.0664420831,5806.13288416621,1332856988.64,2012-03-27T14:03:08.640000Z,1332856988.08,2012-03-27T14:03:08.080000Z,16.4146046005205,2.05343595451939,8.91263970995039,,,,,,1500.0,-138.703153081373,B12,XF,1.0
1.12,1332857127.16,2012-03-27T14:05:27.160000Z,961.748130013772,1923.49626002755,1332857126.64,2012-03-27T14:05:26.640000Z,1332857126.04,2012-03-27T14:05:26.040000Z,13.9923061599788,1.97807016840783,4.42707239700871,,,,,,1500.0,-143.547749962457,B12,XF,1.0
1.08,1332858473.24,2012-03-27T14:27:53.240000Z,1464.64496023618,2929.28992047235,1332858472.76,2012-03-27T14:27:52.760000Z,1332858472.16,2012-03-27T14:27:52.160000Z,14.8613782675814,1.4791314014414,5.11727347774336,,,,,,1500.0,-141.809605747252,B12,XF,1.0
1.12,1332858168.4,2012-03-27T14:22:48.400000Z,1185.30262046198,2370.60524092397,1332858167.88,2012-03-27T14:22:47.880000Z,1332858167.28,2012-03-27T14:22:47.280000Z,14.4077549989598,1.45221211727963,8.65610150819113,,,,,,1500.0,-142.716852284495,B12,XF,1.0
1.16,1332858372.32,2012-03-27T14:26:12.320000Z,1833.54410365606,3667.0882073121297,1332858371.76,2012-03-27T14:26:11.760000Z,1332858371.16,2012-03-27T14:26:11.160000Z,15.553031320218,1.81261206509775,5.52127058834265,,,,,,1500.0,-140.426299641979,B12,XF,1.0
1.16,1332859157.76,2012-03-27T14:39:17.760000Z,1415.71815861996,2831.43631723992,1332859157.2,2012-03-27T14:39:17.200000Z,1332859156.6,2012-03-27T14:39:16.600000Z,14.7114794765015,2.01539440547502,3.44246935890195,,,,,,1500.0,-142.109403329412,B12,XF,1.0
1.16,1332858681.84,2012-03-27T14:31:21.840000Z,1552.43227615359,3104.86455230718,1332858681.32,2012-03-27T14:31:21.320000Z,1332858680.68,2012-03-27T14:31:20.680000Z,16.3951626204113,1.60173452209662,6.78582693348024,,,,,,1500.0,-138.742037041592,B12,XF,1.0
1.12,1332858751.56,2012-03-27T14:32:31.560000Z,1456.83808256449,2913.67616512899,1332858751.04,2012-03-27T14:32:31.040000Z,1332858750.44,2012-03-27T14:32:30.440000Z,14.9226734917555,2.85471554165157,3.84475179493596,,,,,,1500.0,-141.687015298904,B12,XF,1.0
1.12,1332858953.84,2012-03-27T14:35:53.840000Z,1780.00175976086,3560.00351952171,1332858953.32,2012-03-27T14:35:53.320000Z,1332858952.72,2012-03-27T14:35:52.720000Z,15.1646460511073,5.66745495923408,3.34775341331571,,,,,,1500.0,-141.2030701802,B12,XF,1.0
1.08,1332859702.6,2012-03-27T14:48:22.600000Z,4766.26976838698,9532.53953677396,1332859702.12,2012-03-27T14:48:22.120000Z,1332859701.52,2012-03-27T14:48:21.520000Z,17.8555504405885,2.00332523243902,6.04262066600238,,,,,,1500.0,-135.821261401238,B12,XF,1.0
1.08,1332859365.96,2012-03-27T14:42:45.960000Z,3993.4448889476703,7986.88977789533,1332859365.44,2012-03-27T14:42:45.440000Z,1332859364.88,2012-03-27T14:42:44.880000Z,17.4491920189915,1.74663479901156,4.33084543516643,,,,,,1500.0,-136.633978244432,B12,XF,1.0
1.12,1332859550.56,2012-03-27T14:45:50.560000Z,1676.80032766784,3353.60065533567,1332859550.04,2012-03-27T14:45:50.040000Z,1332859549.44,2012-03-27T14:45:49.440000Z,14.869216226425,0.806579052787251,3.95185050161022,,,,,,1500.0,-141.793929829565,B12,XF,1.0
1.16,1332860351.76,2012-03-27T14:59:11.760000Z,4583.90468882879,9167.80937765758,1332860351.2,2012-03-27T14:59:11.200000Z,1332860350.6,2012-03-27T14:59:10.600000Z,17.4492682025205,1.62849036977319,3.37226916658024,,,,,,1500.0,-136.633825877374,B12,XF,1.0
1.16,1332859825.88,2012-03-27T14:50:25.880000Z,1444.37821949953,2888.75643899907,1332859825.32,2012-03-27T14:50:25.320000Z,1332859824.72,2012-03-27T14:50:24.720000Z,14.7610297683104,2.04905613028208,7.47644205486314,,,,,,1500.0,-142.010302745794,B12,XF,1.0
1.12,1332860049.84,2012-03-27T14:54:09.840000Z,4089.14377913344,8178.28755826689,1332860049.32,2012-03-27T14:54:09.320000Z,1332860048.72,2012-03-27T14:54:08.720000Z,17.3341790558372,1.81879799478086,4.8747449922339,,,,,,1500.0,-136.86400417074,B12,XF,1.0
1.12,1332860183.44,2012-03-27T14:56:23.440000Z,1543.23652388645,3086.4730477729,1332860182.92,2012-03-27T14:56:22.920000Z,1332860182.32,2012-03-27T14:56:22.320000Z,14.9993090375695,1.14816126211227,3.63308065913689,,,,,,1500.0,-141.533744207276,B12,XF,1.0
1.08,1332860732.32,2012-03-27T15:05:32.320000Z,2585.99997080389,5171.99994160778,1332860731.8,2012-03-27T15:05:31.800000Z,1332860731.24,2012-03-27T15:05:31.240000Z,16.239078555805,2.0571262694177,3.9910959694542703,,,,,,1500.0,-139.054205170805,B12,XF,1.0
1.16,1332860539.72,2012-03-27T15:02:19.720000Z,1618.58106555673,3237.16213111345,1332860539.16,2012-03-27T15:02:19.160000Z,1332860538.56,2012-03-27T15:02:18.560000Z,14.9067543668508,1.30536072108764,3.51231486780595,,,,,,1500.0,-141.718853548713,B12,XF,1.0
1.08,1332860732.32,2012-03-27T15:05:32.320000Z,2585.99997080389,5171.99994160778,1332860731.8,2012-03-27T15:05:31.800000Z,1332860731.24,2012-03-27T15:05:31.240000Z,16.239078555805,2.0571262694177,3.9910959694542703,,,,,,1500.0,-139.054205170805,B12,XF,1.0
1.16,1332860539.72,2012-03-27T15:02:19.720000Z,1618.58106555673,3237.16213111345,1332860539.16,2012-03-27T15:02:19.160000Z,1332860538.56,2012-03-27T15:02:18.560000Z,14.9067543668508,1.30536072108764,3.51231486780595,,,,,,1500.0,-141.718853548713,B12,XF,1.0
