duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,db_amps,station_code,network_code
0.52,1330570035.36,2012-03-01T02:47:15.360000Z,855.2871430701263,1710.5742861402525,1330570035.08,2012-03-01T02:47:15.080000Z,1330570034.84,2012-03-01T02:47:14.840000Z,17.178624390132306,12.387423831025732,32.80794075852719,,,,,,1500,-134.43607340952173,B09,XF
1.08,1330570054.32,2012-03-01T02:47:34.320000Z,1339.4220601826364,2678.844120365273,1330570053.76,2012-03-01T02:47:33.760000Z,1330570053.24,2012-03-01T02:47:33.240000Z,17.44417437273094,13.121447729153978,30.97136616942116,,,,,,1500,-133.90497344432444,B09,XF
1.04,1330621251.88,2012-03-01T17:00:51.880000Z,843.1363304970738,1686.2726609941476,1330621251.44,2012-03-01T17:00:51.440000Z,1330621250.84,2012-03-01T17:00:50.840000Z,14.859747473859464,9.344753511718215,11.265337231740293,,,,,,1500,-131.56217661120627,B09,XF
1.16,1330621305.24,2012-03-01T17:01:45.240000Z,1066.944405137336,2133.888810274672,1330621304.68,2012-03-01T17:01:44.680000Z,1330621304.08,2012-03-01T17:01:44.080000Z,14.747945769207831,8.04072692744758,9.315612286126813,,,,,,1500,-131.78578002050952,B09,XF
1.64,1330621354.88,2012-03-01T17:02:34.880000Z,2354.362532489735,4708.72506497947,1330621353.92,2012-03-01T17:02:33.920000Z,1330621353.24,2012-03-01T17:02:33.240000Z,17.897269080490194,11.202167927260774,10.046170294988595,,,,,,1500,-125.4871333979448,B09,XF
1.08,1330621382.52,2012-03-01T17:03:02.520000Z,899.8230785756305,1799.646157151261,1330621381.92,2012-03-01T17:03:01.920000Z,1330621381.44,2012-03-01T17:03:01.440000Z,15.137015582129358,10.257981521502046,12.044446643950588,,,,,,1500,-131.00764039466648,B09,XF
1.08,1330621419.36,2012-03-01T17:03:39.360000Z,1419.21605757379,2838.43211514758,1330621418.8,2012-03-01T17:03:38.800000Z,1330621418.28,2012-03-01T17:03:38.280000Z,16.403174426414626,8.846030241865089,11.92880079782755,,,,,,1500,-128.47532270609594,B09,XF
1.04,1330621441.76,2012-03-01T17:04:01.760000Z,975.5722690582168,1951.1445381164335,1330621441.36,2012-03-01T17:04:01.360000Z,1330621440.72,2012-03-01T17:04:00.720000Z,15.878192932673931,9.48511953658082,10.182044710995982,,,,,,1500,-129.52528569357733,B09,XF
1.16,1330621465.48,2012-03-01T17:04:25.480000Z,783.5094108156585,1567.018821631317,1330621465.0,2012-03-01T17:04:25.000000Z,1330621464.32,2012-03-01T17:04:24.320000Z,15.809788493252345,9.157022317308268,13.253490873331708,,,,,,1500,-129.6620945724205,B09,XF
1.24,1330621485.44,2012-03-01T17:04:45.440000Z,860.676717301212,1721.353434602424,1330621484.76,2012-03-01T17:04:44.760000Z,1330621484.2,2012-03-01T17:04:44.200000Z,16.50013578697051,9.31565103664147,11.723504937002541,,,,,,1500,-128.28139998498418,B09,XF
1.32,1330621521.0,2012-03-01T17:05:21.000000Z,1459.3160418115033,2918.6320836230066,1330621520.44,2012-03-01T17:05:20.440000Z,1330621519.68,2012-03-01T17:05:19.680000Z,16.383079694173468,9.097562993583225,11.054546462905076,,,,,,1500,-128.51551217057826,B09,XF
1.0,1330621555.52,2012-03-01T17:05:55.520000Z,890.4027844682469,1780.8055689364937,1330621555.08,2012-03-01T17:05:55.080000Z,1330621554.52,2012-03-01T17:05:54.520000Z,16.35215483801759,8.455193572868898,12.906949030374559,,,,,,1500,-128.57736188289002,B09,XF
0.88,1330621816.36,2012-03-01T17:10:16.360000Z,1926.0717015733326,3852.143403146665,1330621815.96,2012-03-01T17:10:15.960000Z,1330621815.48,2012-03-01T17:10:15.480000Z,15.555713082302256,9.543954734280671,15.602816303192292,,,,,,1500,-130.1702453943207,B09,XF
