time,range_D_MP1,range_MP1_MP2,range_MP2_MP3,auto_max,auto_snr,auto_amp,auto_count,n_calls
2012-03-01 02:47:02.123915+00:00,10.23,21.85,33.19,1951.2722301487584,21.178417455742753,-126.52810650692793,3,2
2012-03-01 02:48:02.123915+00:00,10.23,21.85,33.19,1951.2722301487584,21.178417455742753,-126.52810650692793,3,1
2012-03-04 05:03:02.123167+00:00,15.95,33.29,40.0,13075.8346077342,23.53414904808686,-124.84941692082069,4,2
2012-03-04 05:04:02.123167+00:00,15.95,33.29,40.0,13075.8346077342,23.53414904808686,-124.84941692082069,4,2
2012-03-04 17:17:02.124709+00:00,5.23,11.54,17.61,2438.1005454358046,16.929261556408356,-127.9762601476674,14,1
2012-03-04 17:20:02.124709+00:00,3.76,8.39,12.83,3061.6754232114545,17.557457320687234,-126.71986861910965,22,2
2012-03-04 17:21:02.124709+00:00,3.94,8.77,13.41,3508.205242562284,17.765830810832377,-126.30312163881936,25,1
2012-03-04 17:22:02.124709+00:00,3.67,8.19,12.53,4393.075872279123,18.55755749792387,-124.71966826463635,28,2
2012-03-04 17:23:02.124709+00:00,27.07,40.0,40.0,4838.725820665099,18.750254931750213,-124.33427339698368,31,1
2012-03-04 17:24:02.124709+00:00,30.27,40.0,40.0,4985.1401914387625,18.776443084101977,-124.28189709228016,33,1
2012-03-04 17:25:02.124709+00:00,4.83,10.7,16.34,5720.023929518493,19.07176723791788,-123.69124878464834,35,1
2012-03-04 17:26:02.124709+00:00,0.69,1.57,2.41,6074.2398141751755,19.197519098884264,-123.4397450627156,38,3
2012-03-04 17:27:02.124709+00:00,29.9,40.0,40.0,6583.936947118322,19.300254992162408,-123.23427327615929,40,3
2012-03-04 17:28:02.124709+00:00,0.0,0.02,0.04,7774.593488405784,19.47915873682527,-122.87646578683358,43,3
2012-03-04 17:29:02.124709+00:00,13.24,27.89,40.0,8934.54629967309,19.593034819250487,-122.64871362198312,45,2
2012-03-04 17:30:02.124709+00:00,12.16,25.74,39.04,8961.450087439487,19.73340914927015,-122.3679649619438,47,3
2012-03-04 17:31:02.124709+00:00,12.58,26.57,40.0,9010.38726805393,19.837028569582586,-122.16072612131894,49,4
2012-03-04 17:32:02.124709+00:00,0.0,0.02,0.04,11129.11284780901,19.930371882554414,-121.97403949537528,50,2
2012-03-04 17:33:02.124709+00:00,0.01,0.02,0.02,12322.08418678304,20.136245784915808,-121.56229169065249,50,3
2012-03-04 17:34:02.124709+00:00,0.01,0.02,0.07,12523.262980771691,20.28032310359391,-121.27413705329629,53,2
2012-03-04 17:35:02.124709+00:00,0.0,0.01,0.04,12873.23550396875,20.4464393749683,-120.9419045105475,53,3
2012-03-04 17:36:02.124709+00:00,2.15,4.84,7.42,14153.013043277657,20.52179116752508,-120.79120092543396,54,2
2012-03-04 17:37:02.124709+00:00,0.0,0.01,0.04,15132.598880420086,20.64102754196921,-120.55272817654568,54,3
2012-03-04 17:38:02.124709+00:00,3.2,7.17,10.97,15427.592777291204,20.64561521943483,-120.54355282161444,55,3
2012-03-04 17:39:02.124709+00:00,3.26,7.3,11.16,16329.62676540613,20.702133605480437,-120.43051604952323,55,3
2012-03-04 17:40:02.124709+00:00,3.16,7.08,10.83,16329.62676540613,20.724906237496377,-120.38497078549136,55,3
2012-03-04 17:41:02.124709+00:00,2.79,6.26,9.59,17036.23414931169,20.724906237496377,-120.38497078549136,55,3
2012-03-04 17:42:02.124709+00:00,2.77,6.22,9.51,17306.95369194048,20.740368865725877,-120.35404552903236,54,2
2012-03-04 17:43:02.124709+00:00,3.22,7.21,11.03,17036.23414931169,20.71436105037977,-120.40606115972456,53,3
2012-03-04 17:44:02.124709+00:00,3.02,6.77,10.36,15803.402346011197,20.64561521943483,-120.54355282161444,53,2
2012-03-04 17:45:02.124709+00:00,2.77,6.22,9.51,15407.465921092306,20.643698300131177,-120.54738666022176,54,3
2012-03-04 17:46:02.124709+00:00,2.79,6.26,9.59,16066.514555708662,20.673874412457636,-120.48703443556884,52,2
2012-03-04 17:47:02.124709+00:00,3.28,7.34,11.23,15011.529496173414,20.641781380827524,-120.55122049882904,51,3
2012-03-04 17:48:02.124709+00:00,3.22,7.21,11.03,13995.328045757886,20.52394332699661,-120.7868966064909,51,4
2012-03-04 17:49:02.124709+00:00,3.74,8.35,12.77,13349.788937507188,20.507044204413685,-120.82069485165674,51,3
2012-03-04 17:50:02.124709+00:00,4.14,9.22,14.09,12871.738678988124,20.446298476920337,-120.94218630664344,50,2
2012-03-04 17:51:02.124709+00:00,4.31,9.58,14.64,12156.274933564904,20.36423079932442,-121.10632166183528,49,3
2012-03-04 17:52:02.124709+00:00,4.49,9.97,15.24,10816.18862396774,20.332538713363984,-121.16970583375613,47,2
2012-03-04 17:53:02.124709+00:00,4.44,9.87,15.08,8461.64479951391,20.145412896788976,-121.54395746690616,47,3
2012-03-04 17:54:02.124709+00:00,4.74,10.49,16.03,6465.899977656522,18.930002694246177,-123.97477787199176,45,1
2012-03-04 17:55:02.124709+00:00,4.93,10.9,16.65,4811.499153705868,18.452127049634655,-124.9305291612148,45,2
2012-03-04 17:56:02.124709+00:00,15.9,33.2,40.0,3749.6113225644167,17.86923348953302,-126.09631628141808,43,2
2012-03-04 17:57:02.124709+00:00,4.75,10.53,16.08,3447.677764288529,17.673537490628355,-126.4877082792274,40,3
2012-03-04 17:58:02.124709+00:00,23.15,40.0,40.0,3232.9942576273315,16.79751959302999,-128.23974407442412,37,3
2012-03-04 17:59:02.124709+00:00,21.57,40.0,40.0,2858.6662689461114,16.733078818861145,-128.3686256227618,35,1
2012-03-04 18:00:02.124709+00:00,21.8,40.0,40.0,2789.5188672917566,16.53036694426506,-128.774049371954,32,3
2012-03-04 18:02:02.124709+00:00,7.93,17.17,26.13,2275.9599505107726,16.397380924528125,-129.04002141142786,28,2
2012-03-04 18:03:02.124709+00:00,8.34,18.01,27.4,2170.050416862013,16.394937056883517,-129.0449091467171,26,2
2012-03-04 18:05:02.124709+00:00,7.88,17.07,25.99,2246.658929712186,16.396296655550774,-129.04218994938256,21,3
2012-03-04 18:09:02.124709+00:00,9.46,20.29,30.83,2093.4419040118405,16.14429668124607,-129.54618989799195,13,1
2012-03-04 18:11:02.124709+00:00,9.76,20.9,31.76,2246.658929712186,16.14429668124607,-129.54618989799195,9,1
2012-03-06 07:13:02.129334+00:00,9.3,19.96,30.35,2210.9122821298683,16.80546257442828,-133.42611833246778,3,1
2012-03-06 07:14:02.129334+00:00,9.25,19.87,30.21,2210.9122821298683,16.80546257442828,-133.42611833246778,3,1
2012-03-06 07:15:02.129334+00:00,9.24,19.84,30.16,2210.9122821298683,16.80546257442828,-133.42611833246778,3,1
2012-03-06 07:25:02.129334+00:00,9.35,20.06,30.5,2118.77159334103,18.470433987563194,-130.09617550619797,3,1
2012-03-06 07:26:02.129334+00:00,9.33,20.03,30.45,2118.77159334103,18.470433987563194,-130.09617550619797,3,1
2012-03-06 07:28:02.129334+00:00,9.28,19.93,30.3,2118.77159334103,18.470433987563194,-130.09617550619797,3,1
2012-03-08 21:18:02.127044+00:00,40.0,40.0,40.0,1810.5396872719505,20.632363981468075,-128.7660034764045,4,1
2012-03-08 21:19:02.127044+00:00,40.0,40.0,40.0,1810.5396872719505,20.632363981468075,-128.7660034764045,4,1
2012-03-08 21:20:02.127044+00:00,40.0,40.0,40.0,1810.5396872719505,20.632363981468075,-128.7660034764045,4,1
2012-03-08 21:21:02.127044+00:00,40.0,40.0,40.0,1810.5396872719505,20.632363981468075,-128.7660034764045,4,1
2012-03-09 15:35:02.120128+00:00,18.06,37.48,40.0,1930.2349788602096,17.565546945585304,-129.71622383903463,17,1
2012-03-09 15:36:02.120128+00:00,17.78,36.93,40.0,1926.024403795839,17.563752894302752,-129.71981194159974,18,1
2012-03-09 15:38:02.120128+00:00,17.65,36.68,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,3
2012-03-09 15:39:02.120128+00:00,17.33,36.04,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,2
2012-03-09 15:40:02.120128+00:00,17.23,35.85,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,2
2012-03-09 15:41:02.120128+00:00,16.8,34.99,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,1
2012-03-09 15:42:02.120128+00:00,17.06,35.51,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,2
2012-03-09 15:43:02.120128+00:00,17.33,36.04,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,2
2012-03-09 15:44:02.120128+00:00,17.28,35.94,40.0,1926.024403795839,17.56199981464408,-129.72331810091708,22,3
2012-03-09 15:46:02.120128+00:00,17.58,36.53,40.0,1930.2349788602096,17.56204078626796,-129.7232361576693,21,2
2012-03-09 15:47:02.120128+00:00,8.4,18.13,27.59,1945.3429521084497,17.56199981464408,-129.72331810091708,20,2
2012-03-09 15:48:02.120128+00:00,8.82,18.98,28.87,1945.3429521084497,17.56199981464408,-129.72331810091708,18,1
2012-03-10 02:00:02.121670+00:00,9.22,19.81,30.11,1904.134077804199,15.65808855435688,-131.48773269971855,5,1
2012-03-10 02:01:02.121670+00:00,25.74,40.0,40.0,1813.8893540145575,15.466523195182893,-131.8708634180665,6,2
2012-03-10 02:02:02.121670+00:00,25.58,40.0,40.0,1723.644630224917,15.65808855435688,-131.48773269971855,7,1
2012-03-10 02:03:02.121670+00:00,25.74,40.0,40.0,1723.644630224917,15.65808855435688,-131.48773269971855,7,1
2012-03-10 02:10:02.121670+00:00,23.87,40.0,40.0,1723.644630224917,15.65808855435688,-131.48773269971855,7,1
2012-03-10 02:11:02.121670+00:00,24.86,40.0,40.0,1669.1314346733648,15.274957836008904,-132.2539941364145,5,1
2012-03-11 09:26:02.124754+00:00,7.69,16.67,25.38,1637.6387961855091,14.464428160055007,-142.61547598873497,3,1
2012-03-11 14:54:02.126296+00:00,6.8,14.84,22.62,3399.992725778843,15.51754829385762,-140.59284718038987,3,1
2012-03-11 15:00:02.126296+00:00,6.37,13.94,21.25,5319.842013107053,16.775880168324576,-138.07618343145597,4,1
2012-03-11 15:05:02.126296+00:00,6.43,14.06,21.44,6170.221020806793,17.104422484185193,-137.41909879973474,4,1
2012-03-11 15:10:02.126296+00:00,6.43,14.06,21.44,6170.221020806793,17.104422484185193,-137.41909879973474,4,1
2012-03-11 15:15:02.126296+00:00,5.76,12.67,19.34,5827.77547188628,17.056162903638302,-137.5156179608285,3,1
2012-03-11 15:21:02.126296+00:00,5.12,11.3,17.26,5997.0561237741495,16.83692822980027,-137.95408730850457,3,1
2012-03-11 15:27:02.126296+00:00,5.12,11.3,17.26,5450.357926542926,16.83692822980027,-137.95408730850457,3,1
2012-03-11 15:32:02.126296+00:00,4.82,10.66,16.29,5997.0561237741495,17.041120481578886,-137.54570280494733,3,1
2012-03-11 15:41:02.126296+00:00,4.86,10.77,16.44,7011.26832313229,17.28126194518378,-137.06541987773755,4,1
2012-03-11 15:46:02.126296+00:00,4.86,10.77,16.44,7682.575300264373,17.521403408788668,-136.58513695052778,3,1
2012-03-11 15:50:02.126296+00:00,4.69,10.39,15.87,8141.12631120538,17.554174279079465,-136.5195952099462,4,1
2012-03-11 15:57:02.126296+00:00,4.41,9.8,14.97,9870.427600865103,17.942425462933414,-135.74309284223827,3,1
2012-03-11 16:02:02.126296+00:00,4.01,8.92,13.64,11731.640945082556,18.233410026841725,-135.16112371442165,3,1
2012-03-11 16:08:02.126296+00:00,3.9,8.7,13.3,13489.200837290007,18.646453984385204,-134.3350357993347,4,1
2012-03-11 16:12:02.126296+00:00,3.9,8.7,13.3,13489.200837290007,18.646453984385204,-134.3350357993347,4,1
2012-03-11 16:18:02.126296+00:00,4.13,9.18,14.04,13877.88969084858,18.68581564590589,-134.25631247629332,3,1
